id,school,degree,time_start,time_end
000e62f0-58f3-484a-b145-ec3b5d5e20d9,The College of New Jersey,"Biology, Political Science",,
0010ae3d-cf99-4581-8571-a35867ab54f2,CPA Australia Program,Accounting,2015,2017
0010ae3d-cf99-4581-8571-a35867ab54f2,Monash University,"Master's degree, Professional Accounting",2011,2012
0010ae3d-cf99-4581-8571-a35867ab54f2,Swinburne University of Technology,"Bachelor of Commerce (B.Com.), Finance, General",2009,2010
0013427a-3bb9-45c8-9ff9-0c7794d82fff,CIPD Qualifications,"Level 5 Diploma, Learning & Development",2015,2015
0013427a-3bb9-45c8-9ff9-0c7794d82fff,CIPD Qualifications,Level 7 Advanced Diploma in Human Resource Development,2018,2020
0013427a-3bb9-45c8-9ff9-0c7794d82fff,Insights Discovery Practitioner,,,
00229bd7-c973-4185-912e-49cd52548b52,St. John's Prep,High School,1988,1992
00229bd7-c973-4185-912e-49cd52548b52,Suffolk University Law School,Juris Doctor (JD),1999,2003
00229bd7-c973-4185-912e-49cd52548b52,Tufts University,"Bachelor of Science (BS), Chemical Engineering",1992,1996
00229bd7-c973-4185-912e-49cd52548b52,University of San Diego,Master of Business Administration (M.B.A.),2014,2016
0034a0ec-f879-4c4d-85a7-739fd87cbfc2,Birzeit University,"Bachelor's degrees, Accounting",1992,2001
0034a0ec-f879-4c4d-85a7-739fd87cbfc2,Stockholm University,"Msc, Business",2004,2007
003a0671-97e7-4652-a81a-17352a2eb652,Cardiff University / Prifysgol Caerdydd,"Bachelor of Arts - BA, Philosophy",2015,2018
003a0671-97e7-4652-a81a-17352a2eb652,Cardiff University / Prifysgol Caerdydd,"Master of Science - MS, International Relations and Affairs",2018,2019
003b510e-9adb-4f3f-a400-35355346124c,University of New South Wales,Masters Construction Project Management,2006,2006
003b510e-9adb-4f3f-a400-35355346124c,University of Portsmouth,"Bachelor of Arts, Architecture",1996,1999
003b510e-9adb-4f3f-a400-35355346124c,University of Sydney,Bachelor of Architecture,2002,2003
0042f705-5942-4a9f-8ec8-5a11b249f9cc,BPP University,,,
0042f705-5942-4a9f-8ec8-5a11b249f9cc,Hautlieu School,,,
00484c71-5b96-4094-8496-9f8773fe548a,Pamantasan ng Lungsod ng Maynila,"Bachelor of Science (B.S.), Accounting",2008,2012
004c9edb-a4a6-4190-8bff-25e9d76bd770,University of Illinois at Urbana-Champaign,"Masters, Exercise Physiology",1995,2002
0055abf5-dd44-4296-9551-10b034832c4b,Kennet School,,2007 – 2014,
0055abf5-dd44-4296-9551-10b034832c4b,Kennet School,,2007 – 2014,
0055abf5-dd44-4296-9551-10b034832c4b,University of Winchester,Business Management,2014,2017
0055abf5-dd44-4296-9551-10b034832c4b,University of Winchester,Business Management,2014,2017
0069a7ab-8078-436e-9dfd-2b120989054f,Parkview Baptist High School,,2011 – 2015,
0069a7ab-8078-436e-9dfd-2b120989054f,Rice University,"Bachelor's degree, Managerial Studies, Sports Management, Business minor",2015,2019
006b86ad-8d47-4f17-94d7-376b353d038f,Michigan State University,"Bachelor of Science (BS), Microbiology, General",2005,2009
006b86ad-8d47-4f17-94d7-376b353d038f,Michigan State University College of Osteopathic Medicine,"Withdrew in good standing after 2.5 years, Osteopathic Medicine/Osteopathy",2009,2012
007779a2-282f-457f-9fdd-89be6a758aee,Eden Prairie High School,,1996 – 1998,
007779a2-282f-457f-9fdd-89be6a758aee,University of Wisconsin-Madison,"Bachelor of Arts (B.A.), English Language and Literature/Letters",1998,2002
00878119-bfab-4d4e-840c-82807583e2a8,San Diego State University,"Bachelor's degree, Marketing",,
00878119-bfab-4d4e-840c-82807583e2a8,"University of Technology, Sydney",Semester Abroad - International Business Focus,,
0087a93b-921f-4f8d-9031-639df0fd50cc,Highlands College - Jersey,Hair and Beauty Combined Level 1,2010,2011
0087a93b-921f-4f8d-9031-639df0fd50cc,Highlands College - Jersey,NVQ 2 in Beauty Therapy,2011,2012
0087a93b-921f-4f8d-9031-639df0fd50cc,Highlands College - Jersey,Skills For Working Life,2009,2010
0087a93b-921f-4f8d-9031-639df0fd50cc,Middle School Complex of Adam Mickiewicz in Łobez (Poland),,2005 – 2008,
0087a93b-921f-4f8d-9031-639df0fd50cc,OneStudy Training Limited,"Introductory Certificate In Financial and Management Accounting, Accounting",2014,
0087a93b-921f-4f8d-9031-639df0fd50cc,"School Band no. 6 of Mikołaj Rej ""GASTRONOMIK"" in Szczecin (Poland)",Hotel Management,2008,2009
0087a93b-921f-4f8d-9031-639df0fd50cc,"The Sigma Group, Pitman Training",Basic Bookkeeping Course,2012,2012
009b8d05-2fd5-422c-935b-f2d85bec6729,Point Loma Nazarene University,"Bachelor of Arts (B.A.), Graphic Design",2008,2012
00a42331-16ae-4927-8649-e93117c3e447,Oxford Brookes University,"Bachelor of Science - BSc, Sports Pedagogy",2014,2017
00a42331-16ae-4927-8649-e93117c3e447,Oxford Brookes University,"Bachelor of Science - BSc, Sports Pedagogy",2014,2017
00a517b1-f8c3-4e85-a773-84260bd7ffb2,ACCA,Accounting and Finance,2019,
00a517b1-f8c3-4e85-a773-84260bd7ffb2,Castletroy College,Leaving Certificate,2010,2014
00a517b1-f8c3-4e85-a773-84260bd7ffb2,University of Limerick,"Bachelor's degree, Accounting and Finance",2014,2018
00addf53-6151-491f-b1ff-40da8864eda4,California Polytechnic State University-San Luis Obispo,"BS, Industrial Engineering w/ concentration in Manufacturing",1992,1997
00c26ec4-6d24-4dfd-821f-8cbf90e307fa,"East Chapel Hill High School, Chapel Hill NC",High School,2005,2009
00c26ec4-6d24-4dfd-821f-8cbf90e307fa,International University in Moscow (IUM),Study Abroad,2013,2013
00c26ec4-6d24-4dfd-821f-8cbf90e307fa,University of Mississippi,"Bachelor of Arts (B.A.), Linguistics, Russian Minor",2010,2014
00c8b4a4-dcf1-46ff-b298-a2a62ad878b9,Turing School of Software & Design,Back End Software Engineering,20-May,21-Jan
00c8b4a4-dcf1-46ff-b298-a2a62ad878b9,University of South Florida,"Bachelor of Science - BS, Biological Health Sciences",10-Jun,15-Jun
00e17ef5-23cb-4bb8-acba-1024856c6832,The Ethel Walker School,High School Diploma,2006,2010
00e17ef5-23cb-4bb8-acba-1024856c6832,The Johns Hopkins University,"B.A., Biophysics",2010,2014
00e17ef5-23cb-4bb8-acba-1024856c6832,University of California San Diego,"Doctor of Philosophy - PhD, Chemistry",2015,2020
00e17ef5-23cb-4bb8-acba-1024856c6832,University of California San Diego,"Master of Science - MS, Chemistry",2015,2017
00e47e20-6bee-4478-a705-66bcb0a008e9,CSUSM College of Business,,2006 – 2011,
00f46ffd-7f8e-4a34-b1e2-8c630ce7ddbe,Texas A&M University-Kingsville,"Master's degree, Mechanical Engineering",2014,2016
00f46ffd-7f8e-4a34-b1e2-8c630ce7ddbe,University of Mumbai,"Bachelor's degree, Mechanical Engineering",2008,2012
00f73632-e992-4cf4-af1e-d6e447701298,University of South Carolina-Columbia,"Bachelor of Science (BS), Chemistry; Biology",2010,2013
01049889-6b3c-47c4-ae1d-a387cfdd15e2,FIA - Diploma in Accounting and Business,Accounting and Business/Management,2013,2013
01049889-6b3c-47c4-ae1d-a387cfdd15e2,IAB - International Association of Bookkeepers,"Certificate in Bookkeeping, IAB Certificate in Bookkeeping, Level 3",2012,2013
01049889-6b3c-47c4-ae1d-a387cfdd15e2,The Academy of Hotel Management and Catering Industry,"Diploma in Hotel Management, Management in Hotel and Catering",2001,2004
010d1c79-4c6b-42be-99c3-745f3a93293a,California State University-Sacramento,"Bachelor of Science, Accounting",1982,1989
010d1c79-4c6b-42be-99c3-745f3a93293a,Embry-Riddle Aeronautical University,"MBA, Business Administration",1994,1997
010d1c79-4c6b-42be-99c3-745f3a93293a,Golden Gate University,"Graduate Certificate of Taxation, Taxation",2010,2013
