id,headline_location,company,exp_location,title,description,start_day,end_day,first_job_start,number_of_recommendations
2ff517bd-3566-481e-a289-52ce4fb4ae2e,"Aliso Viejo, California, United States",Company_N,Greater Minneapolis-St. Paul Area,Spine Specialist,"Company_N, Inc., is a medical device company focused on the development of new solutions and approaches for spine surgeons. Company_N's technologies make possible the eXtreme Lateral Interbody Fusion (XLIF) technique; a new, less invasive approach to the lumbar spine that allows for minimal tissue disruption and fast recovery times for patients by creating a safe, reproducible lateral corridor to the anterior column of the spine. ",11/1/2012,3/1/2015,10/1/2004,5.3
78a0c7be-de6e-4af6-bab7-050a436e19fe,Singapore,Company_N,,"Associate Manager, SEA Market Development","Managed the product throughout the product life cycle, gathered and prioritized product and customer requirements, and worked closely with all stake holders to deliver the marketing strategy",7/1/2010,5/1/2012,9/1/2005,3.6
78a0c7be-de6e-4af6-bab7-050a436e19fe,Singapore,Company_N,,Senior Spine Specialist,Discussed clinically and provided technical support in spinal cases,12/1/2009,7/1/2010,9/1/2005,3.6
93f62afe-4568-4d79-89cc-f8732a985ee7,"Chandler, Arizona, United States",Company_N,Greater San Diego Area,Leader Business Transformation Office Global Operations,"Leading the Business Transformation Office and managing the Project Management Office PMO drives all process integration and transformation across the organization, aligning all resources based on strategic goals. A primary resource to the CEO and the Executive Board on current $1.2B business operations. The main areas of investment include ERP implementation, Supply Chain/BlockChain optimization, Research, and Development strategic road mapping, International Regulations, and Quality Assurance operating procedures, and Resource allocation/alignment.",8/1/2019,7/1/2020,1/1/2000,6.7
93f62afe-4568-4d79-89cc-f8732a985ee7,"Chandler, Arizona, United States",Company_N,"Columbia, Maryland",Senior Director Clinical Operations,"Senior Director of Company_N Clinical Services Operations. Responsibilities include 13 Direct reports, 500 field technicians and 125 back office staff, $140M Revenue, 900 channel B2B and B2C Medical Technology/Life Science/Medical Device markets and six divisions. This is truly an amazing opportunity. Operations focus on increasing market share, driving performance and increasing support capabilities through process improvement and strategic synergies in Logistic, Supply Chain and customer demand cycles. As we now focus on meeting the demand around the world Transforming Spine Surgery and Beyond. Global integration, strategy, business development, IT platform and system development, SaaS end-user interface, marketing, sales, sales operations, sales support, field, and back-office operations, onsite customer service, Tier 2/3 technical support, product development, and business intelligence. My primary focus is on best in class service while increasing margins through innovation and technology. Other responsibilities include CRM, VOC tracking systems, communications, sales contracts/application development, sales support, and clinician training. Changing patient lives every day, Company_N Innovation is disrupting the medical world! We are the largest IONM provider in the world with over 550 Neurophysiologists.",9/1/2018,8/1/2019,1/1/2000,6.7
93f62afe-4568-4d79-89cc-f8732a985ee7,"Chandler, Arizona, United States",Company_N,"Columbia, MD",Director Of Operations NCS,"Company_NÂ® is a place where we create new and innovative products at a speed that drives our ability to deliver Absolute ResponsivenessÂ®, and gives us a competitive edge. At Company_N, we empower our shareowners to influence results and significantly contribute to the success of the company. Together we make Company_N a leader in the spine industry with our unique focus on Speed of InnovationÂ®.",10/1/2017,9/1/2018,1/1/2000,6.7
e16161bd-9077-4bc0-9ab0-128ace2a82a8,"San Diego, California, United States",Company_N,Greater San Diego Area,Senior Accounts Payable Lead,"â€¢Planned & implemented accounts payable policies and procedures to ensure proper internal controls, including adherence to budget control and compliance with tax requirements",3/1/2002,5/1/2007,1/1/1988,5.4
a317ec03-9911-49de-9e8e-6e452bed058b,"Victor, New York, United States",Company_N,,Sales Director-East,,5/1/2007,12/1/2011,5/1/2007,6.4
1fa1283a-5dbe-4935-9f7a-cff0974339b2,"San Diego, California, United States",Company_N,"San Diego, California, United States",Algorithm Developer,,9/1/2020,,9/1/2010,4.6
3ba43f1b-b090-4d73-82bc-3b3b555c6c99,"Fair Oaks, California, United States",Company_N,"Spokane, WA",Medical Sales - Spinal Implants,,3/1/2013,3/1/2014,2/1/2008,4.2
fa253d9d-781c-4281-8698-da29849deb58,"San Diego, California, United States",Company_N,,Sales Coordinator,Contracting with facilities,1/1/2006,12/1/2009,1/1/2006,4.7
fc4f0a1b-7464-4766-9c36-78e2a6ce1648,"Del Mar, California, United States",Company_N,,Senior Administrative Assistant,,6/1/2017,,6/1/2017,5.7
c0568f8c-3ab8-40c1-95f8-0c2bbd26627a,"Miami, Florida, United States",Company_N,,Business Systems Analyst,The interface between IT and the Finance Department working on inplementing SAP and supporting Great Plains.,4/1/2007,2/1/2008,5/1/1998,2.1
161d963e-3610-4d8c-92e0-efc8937dfd5c,"Springboro, Ohio, United States",Company_N,,Sr CNC Programmer,,10/1/2019,,2/1/2010,4.6
161d963e-3610-4d8c-92e0-efc8937dfd5c,"Springboro, Ohio, United States",Company_N,West Carrollton Ohio,Sr CNC Programmer,,4/1/2016,1/1/2019,2/1/2010,4.6
e4f959d5-3958-45e3-b1f1-84151b9f7446,"San Diego, California, United States",Company_N,Greater San Diego Area,Pricing Analyst,Medical device company focused on developing minimally disruptive surgical products and procedures for the spine. The company is best known for its eXtreme Lateral Interbody Fusion technology.,4/1/2017,6/1/2018,7/1/1998,6
d06a9b61-acb9-4210-ad8f-b6839d5c4dcf,"Rio de Janeiro, Rio de Janeiro, Brazil",Company_N,,Human Resources,,3/1/2016,,10/1/2010,5.9
7ffe9484-5409-42a5-9b6f-7b58c7cf6d96,"Tampa, Florida, United States",Company_N,Tampa Florida,Spine Associate,"Integrity-Medical is the exclusive distributor of Florida for Company_N Spine. Located in San Diego California, Company_N is a medical device company focusing on the design, development, and marketing of products for the surgical treatment of spine disorders. Our companyâ€™s current principal products include a minimally disruptive surgical platform called Maximum Access Surgery (MASÂ®), a revolutionary nerve avoidance monitoring system (NeuroVisionÂ®), an innovative solution to a safe and reproducible lateral access surgery (XLIFÂ®), as well as a growing offering of biologics, cervical and motion preservation products.",1/1/2012,12/1/2013,5/1/2011,3.5
66b5ae87-c591-4248-a0fd-353ec92980d9,"Atlanta, Georgia, United States",Company_N,Greater Atlanta Area,Manufacturing Consultant,,3/1/2018,8/1/2019,11/1/2013,5.7
66b5ae87-c591-4248-a0fd-353ec92980d9,"Atlanta, Georgia, United States",Company_N,Greater Atlanta Area,R&D Intern,,9/1/2017,12/1/2017,11/1/2013,5.7
d43cc1f9-54fc-44d3-8ad2-e0c8814f2605,"Duluth, Minnesota, United States",Company_N,"Duluth, Minnesota Area",Associate Intraoperative Neurophysiologist,,1/1/2019,,3/1/2015,4.3
6c7e0c14-e887-437a-829a-7a27153a8694,"Carlsbad, California, United States",Company_N,,Quality Assurance Associate,,6/1/2002,11/1/2005,6/1/2002,5.1
bad30ef2-95a0-4494-850a-4341eeb2ccf9,"Atlanta, Georgia, United States",Company_N,"Atlanta, GA",Spine Specialist,,6/1/2013,1/1/2019,8/1/2007,5.7
bad30ef2-95a0-4494-850a-4341eeb2ccf9,"Atlanta, Georgia, United States",Company_N,"Jackson, MS",Spine Associate,,5/1/2011,6/1/2013,8/1/2007,5.7
0f84538f-16e3-426c-838e-c93e5882ece4,United States,Company_N,,Instrument Technician,,5/1/2017,,5/1/2017,4.3
4970b626-c715-4b76-bd6b-f25677234c63,"Dayton, Ohio, United States",Company_N,"Dayton, Ohio Area",Desktop Support Specialist,"Assisting with a large scale refresh project. Duties include; imaging, adding users to the company domain,ensuring users are added to the proper containers and that the proper security permissions are applied within Active Directory, password resets, etc.",9/1/2019,,9/1/2009,1.7
533deef0-bffa-4bd5-868b-d1a75cf30abf,"El Paso, Texas, United States",Company_N,"tucson, arizona",Spine specialist,,9/1/2014,7/1/2015,6/1/2006,7
