iter	Passed	Remaining
0	21	5319
1	34	4231
2	58	4825
3	79	4878
4	96	4736
5	111	4547
6	128	4462
7	144	4374
8	161	4324
9	177	4270
10	194	4230
11	212	4218
12	229	4183
13	246	4163
14	264	4142
15	280	4102
16	297	4082
17	313	4039
18	328	3995
19	345	3972
20	361	3938
21	378	3920
22	394	3893
23	410	3868
24	427	3847
25	442	3816
26	459	3792
27	474	3765
28	493	3757
29	509	3733
30	524	3707
31	539	3677
32	556	3662
33	572	3635
34	588	3615
35	605	3599
36	620	3574
37	636	3548
38	652	3529
39	668	3511
40	684	3488
41	698	3460
42	714	3439
43	729	3413
44	744	3389
45	760	3372
46	774	3346
47	789	3324
48	805	3303
49	820	3280
50	835	3259
51	850	3237
52	867	3224
53	888	3223
54	903	3202
55	919	3186
56	936	3172
57	957	3168
58	973	3152
59	987	3128
60	1005	3114
61	1020	3094
62	1042	3093
63	1058	3075
64	1073	3056
65	1087	3032
66	1101	3009
67	1119	2996
68	1136	2981
69	1151	2961
70	1166	2940
71	1182	2924
72	1199	2908
73	1216	2892
74	1232	2874
75	1248	2859
76	1263	2838
77	1278	2819
78	1294	2801
79	1309	2782
80	1325	2765
81	1341	2748
82	1357	2731
83	1377	2722
84	1395	2708
85	1410	2690
86	1426	2672
87	1444	2658
88	1462	2645
89	1482	2634
90	1499	2619
91	1515	2603
92	1528	2579
93	1543	2561
94	1562	2548
95	1577	2531
96	1595	2516
97	1608	2495
98	1625	2478
99	1641	2461
100	1656	2444
101	1673	2428
102	1690	2412
103	1705	2394
104	1722	2378
105	1740	2364
106	1755	2346
107	1772	2330
108	1788	2313
109	1803	2295
110	1820	2279
111	1838	2265
112	1854	2247
113	1871	2232
114	1888	2216
115	1903	2198
116	1919	2181
117	1934	2163
118	1950	2146
119	1967	2130
120	1982	2113
121	1997	2095
122	2013	2079
123	2030	2063
124	2047	2047
125	2063	2030
126	2081	2015
127	2096	1997
128	2112	1981
129	2127	1964
130	2143	1947
131	2160	1931
132	2177	1915
133	2192	1898
134	2209	1882
135	2227	1866
136	2242	1849
137	2258	1833
138	2274	1816
139	2291	1800
140	2308	1784
141	2323	1767
142	2340	1751
143	2355	1733
144	2371	1717
145	2387	1700
146	2404	1684
147	2421	1669
148	2437	1652
149	2453	1635
150	2470	1619
151	2487	1603
152	2503	1587
153	2518	1569
154	2533	1553
155	2549	1536
156	2564	1519
157	2578	1501
158	2595	1485
159	2610	1468
160	2629	1453
161	2643	1436
162	2659	1419
163	2675	1402
164	2690	1385
165	2706	1369
166	2724	1353
167	2739	1337
168	2754	1320
169	2770	1303
170	2785	1286
171	2801	1270
172	2817	1253
173	2833	1237
174	2846	1219
175	2860	1202
176	2872	1184
177	2885	1166
178	2898	1149
179	2910	1132
180	2922	1114
181	2935	1096
182	2949	1079
183	2962	1062
184	2974	1045
185	2986	1027
186	2998	1010
187	3011	993
188	3024	976
189	3035	958
190	3048	941
191	3061	924
192	3073	907
193	3084	890
194	3097	873
195	3111	857
196	3123	840
197	3135	823
198	3148	806
199	3162	790
200	3175	774
201	3189	757
202	3202	741
203	3215	725
204	3228	708
205	3241	692
206	3253	675
207	3265	659
208	3278	643
209	3290	626
210	3303	610
211	3314	594
212	3327	578
213	3340	561
214	3354	546
215	3366	529
216	3378	513
217	3391	497
218	3404	481
219	3417	466
220	3429	450
221	3442	434
222	3455	418
223	3468	402
224	3481	386
225	3493	370
226	3506	355
227	3520	339
228	3534	324
229	3547	308
230	3558	292
231	3571	277
232	3584	261
233	3597	245
234	3608	230
235	3621	214
236	3634	199
237	3646	183
238	3658	168
239	3670	152
240	3683	137
241	3697	122
242	3708	106
243	3720	91
244	3733	76
245	3747	60
246	3758	45
247	3770	30
248	3784	15
249	3797	0
