,number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,0,0.8000158027812896,2021-04-12 15:12:56.957098,2021-04-12 15:13:00.994445,0 days 00:00:04.037347,0.046399139572991875,0.7,0.016009999383769197,0.014,17,172,150,0.7,COMPLETE
1,1,0.8000158027812896,2021-04-12 15:13:00.995485,2021-04-12 15:13:03.239666,0 days 00:00:02.244181,0.03748591017927627,1.0,0.0036774747204552038,0.02,17,134,150,0.8,COMPLETE
2,2,0.8000158027812896,2021-04-12 15:13:03.240667,2021-04-12 15:13:06.968396,0 days 00:00:03.727729,0.002737585768017133,1.0,0.005370442588382133,0.014,7,30,200,1.0,COMPLETE
3,3,0.79647597977244,2021-04-12 15:13:06.969396,2021-04-12 15:13:20.391493,0 days 00:00:13.422097,0.001728363879431741,1.0,0.2549331350565483,0.01,11,3,200,0.7,COMPLETE
4,4,0.8000158027812896,2021-04-12 15:13:20.393533,2021-04-12 15:13:22.263370,0 days 00:00:01.869837,2.539388006155848,0.9,0.026358511229833227,0.01,7,76,150,0.7,COMPLETE
5,5,0.8000158027812896,2021-04-12 15:13:22.265372,2021-04-12 15:13:53.010991,0 days 00:00:30.745619,0.30287959539039677,0.9,0.013514912338803758,0.012,5,114,3000,0.7,COMPLETE
6,6,0.8000158027812896,2021-04-12 15:13:53.011991,2021-04-12 15:14:20.054144,0 days 00:00:27.042153,0.714227291922897,1.0,0.6256105004868096,0.009,4,256,3000,0.6,COMPLETE
7,7,0.8000158027812896,2021-04-12 15:14:20.055145,2021-04-12 15:14:21.743434,0 days 00:00:01.688289,3.2686336079961573,0.5,0.005386555578425327,0.014,7,248,150,0.8,COMPLETE
8,8,0.7964680783817952,2021-04-12 15:14:21.744434,2021-04-12 15:15:10.921011,0 days 00:00:49.176577,6.8254361324835475,0.7,0.017520743187854362,0.018,15,9,3000,0.8,COMPLETE
9,9,0.8000158027812896,2021-04-12 15:15:10.922011,2021-04-12 15:15:13.976001,0 days 00:00:03.053990,0.651237854331696,1.0,0.5457108044392145,0.014,11,260,300,0.6,COMPLETE
10,10,0.8000158027812896,2021-04-12 15:15:13.977002,2021-04-12 15:15:15.725771,0 days 00:00:01.748769,0.021514271834630627,0.7,0.001027925244921679,0.008,13,202,150,0.7,COMPLETE
11,11,0.8000158027812896,2021-04-12 15:15:15.726772,2021-04-12 15:15:18.024511,0 days 00:00:02.297739,0.04120924207527353,0.8,7.4192554606201,0.02,17,175,150,0.8,COMPLETE
12,12,0.8000158027812896,2021-04-12 15:15:18.025512,2021-04-12 15:15:20.235127,0 days 00:00:02.209615,0.01529332889260496,0.6,0.002109054632566293,0.016,17,134,150,1.0,COMPLETE
