iter	MultiClass
0	1.699270601
1	1.530999677
2	1.404739995
3	1.300943846
4	1.218425858
5	1.152386798
6	1.089250497
7	1.036095737
8	0.9927676872
9	0.9556935351
10	0.9224801434
11	0.8936095758
12	0.8664123381
13	0.8407985039
14	0.8197862356
15	0.7996803613
16	0.7802488022
17	0.7627835228
18	0.7461904061
19	0.7308055262
20	0.7168158313
21	0.7040553444
22	0.6921991224
23	0.6805601606
24	0.6698393973
25	0.659969329
26	0.6508269455
27	0.6419154492
28	0.6340004235
29	0.6259783218
30	0.6186018454
31	0.6112502107
32	0.6045987874
33	0.5980985748
34	0.5921859845
35	0.5862914593
36	0.5808070386
37	0.5750886944
38	0.5694781632
39	0.5646069517
40	0.5601534441
41	0.5555111592
42	0.5507085261
43	0.5462999156
44	0.5419590938
45	0.5374659796
46	0.5328311913
47	0.5288647244
48	0.5245770154
49	0.5208890692
50	0.517345289
51	0.5135176879
52	0.5095656973
53	0.5057013628
54	0.5027597055
55	0.4991200244
56	0.495936054
57	0.4923412493
58	0.4889635127
59	0.4861946905
60	0.4833242757
61	0.480356796
62	0.4772905642
63	0.4746008692
64	0.4716872305
65	0.4686206404
66	0.4665077455
67	0.4642114589
68	0.4607834836
69	0.4582773456
70	0.4553006292
71	0.4522880421
72	0.4501299894
73	0.4478556625
74	0.4450178545
75	0.442754192
76	0.4405489975
77	0.4374050695
78	0.4355722348
79	0.4327598805
80	0.4303316885
81	0.4282739581
82	0.4263573325
83	0.4244902399
84	0.4222552781
85	0.4196862218
86	0.417269503
87	0.4147958341
88	0.4132830959
89	0.411014488
90	0.4094563873
91	0.4076927711
92	0.4057317189
93	0.4037220697
94	0.4019651023
95	0.4004305317
96	0.3987203275
97	0.397530486
98	0.3954768368
99	0.3930950666
100	0.39141854
101	0.3898479881
102	0.3884775293
103	0.3867991065
104	0.3850638179
105	0.3830276077
106	0.3806115404
107	0.3785306046
108	0.3768284647
109	0.3742854123
110	0.3732374615
111	0.3713118923
112	0.3698029852
113	0.3678951105
114	0.3663505004
115	0.3642194759
116	0.3625869415
117	0.3607221035
118	0.358903707
119	0.3568717346
120	0.3556555735
121	0.3547315343
122	0.3531565413
123	0.3513474052
124	0.3495367609
125	0.3478528679
126	0.3459468037
127	0.3446294588
128	0.343190115
129	0.3412765949
130	0.3391020067
131	0.3376156855
132	0.3363870249
133	0.334696925
134	0.3332349684
135	0.3313833161
136	0.3298572887
137	0.3276690418
138	0.3265527474
139	0.3248262597
140	0.3232270101
141	0.3216012209
142	0.3202195648
143	0.3188573068
144	0.3179470018
145	0.3165798909
146	0.3151907943
147	0.3139651875
148	0.312652887
149	0.3114782082
150	0.3101772021
151	0.3084678811
152	0.3069310631
153	0.3055749291
154	0.3042886018
155	0.3027838594
156	0.3016540052
157	0.3010065072
158	0.2998267691
159	0.2985425079
160	0.2974862796
161	0.2960935985
162	0.2945511909
163	0.2935551503
164	0.293100994
165	0.2921336054
166	0.2909976669
167	0.289494559
168	0.2880349729
169	0.287434227
170	0.2860228722
171	0.2848791556
172	0.2840555372
173	0.2831318862
174	0.2815251857
175	0.2801964677
176	0.2796823059
177	0.2783539108
178	0.277157737
179	0.2759118316
180	0.2748171379
181	0.2735329351
182	0.2721125955
183	0.2713456903
184	0.2703255654
185	0.2689883882
186	0.2681858301
187	0.267243954
188	0.2659496628
189	0.2652550177
190	0.2644616704
191	0.2633230918
192	0.2625322952
193	0.2610668643
194	0.2602452098
195	0.2589417326
196	0.2577202066
197	0.2568119641
198	0.2557889233
199	0.2547177283
200	0.2539994227
201	0.2528021879
202	0.2518843063
203	0.2510111955
204	0.2498368911
205	0.2485642902
206	0.2476787296
207	0.2465607341
208	0.2451880998
209	0.2444414539
210	0.2439529288
211	0.2433396049
212	0.2422917571
213	0.2413086825
214	0.2402150739
215	0.2394304256
216	0.2389503524
217	0.2378260533
218	0.2368710426
219	0.2360977833
220	0.2350277894
221	0.2336171926
222	0.2323543552
223	0.2312512842
224	0.2306554253
225	0.2299175175
226	0.2292913949
227	0.2283956722
228	0.2275503777
229	0.2263080422
230	0.225472121
231	0.2246922875
232	0.2240887798
233	0.2231202123
234	0.2221683205
235	0.2213022031
236	0.2206582925
237	0.2200587229
238	0.2190623813
239	0.2181265177
240	0.2172688568
241	0.2165506481
242	0.2159922116
243	0.2148765348
244	0.2142669531
245	0.2137400882
246	0.2128228504
247	0.2119549489
248	0.2112411402
249	0.2102735709
250	0.2095407773
251	0.2089153406
252	0.2079732155
253	0.2073350536
254	0.2065591153
255	0.205933906
256	0.2051589014
257	0.2044103062
258	0.2033969879
259	0.2024784086
260	0.2018406489
261	0.2010304528
262	0.2001660567
263	0.1995459982
264	0.1989386796
265	0.1983697633
266	0.1974550999
267	0.1969925953
268	0.1963756222
269	0.1956978485
270	0.1952588934
271	0.194462525
272	0.1938721819
273	0.1932175602
274	0.1926917517
275	0.1919762988
276	0.1913940023
277	0.1906873399
278	0.1900717531
279	0.1892760803
280	0.1885643683
281	0.1880515621
282	0.1873030515
283	0.1867183594
284	0.1859953291
285	0.1853738192
286	0.1847677571
287	0.1842350736
288	0.1835289918
289	0.1829539217
290	0.1821672321
291	0.1816163431
292	0.1809575419
293	0.1804691459
294	0.1798938811
295	0.1792984148
296	0.1786902024
297	0.1783277774
298	0.1776538154
299	0.1771061666
300	0.1766963932
301	0.1762548285
302	0.175680981
303	0.1748997397
304	0.1745555856
305	0.1739202547
306	0.1735119595
307	0.1728843601
308	0.1721431837
309	0.171620655
310	0.1709026807
311	0.1705705719
312	0.1700380903
313	0.16967452
314	0.1687821179
315	0.1684065119
316	0.1677819428
317	0.1672615753
318	0.1666779157
319	0.1659844013
320	0.1654826811
321	0.1650601477
322	0.1643589465
323	0.1636586378
324	0.163165145
325	0.1626970741
326	0.1621742116
327	0.161357732
328	0.1607302867
329	0.16016331
330	0.1597691091
331	0.1589634504
332	0.1584111483
333	0.1578651514
334	0.1572334432
335	0.1566046271
336	0.1560496129
337	0.155515764
338	0.1550127817
339	0.1546458312
340	0.1542125787
341	0.1536630055
342	0.1530592935
343	0.1525634366
344	0.1519768704
345	0.1512883225
346	0.1508373516
347	0.1505103847
348	0.1500870449
349	0.1496943859
350	0.1490573251
351	0.1486527609
352	0.1482495364
353	0.1476459382
354	0.1469120654
355	0.1465592882
356	0.1462184723
357	0.145825177
358	0.1453208983
359	0.1449557611
360	0.144307043
361	0.1439928022
362	0.1437406924
363	0.143242199
364	0.1428532407
365	0.1422083021
366	0.141667828
367	0.1413075467
368	0.140962476
369	0.1406594668
370	0.1401508785
371	0.1397043944
372	0.1391330177
373	0.1386974513
374	0.1382913943
375	0.1380119591
376	0.1375398223
377	0.1372249249
378	0.1369152223
379	0.1364959153
380	0.1359969742
381	0.1356861834
382	0.1351672486
383	0.1344707866
384	0.1342322563
385	0.1338593398
386	0.1334398109
387	0.1330988268
388	0.1326397162
389	0.1321977615
390	0.1316692494
391	0.1312140007
392	0.1308981925
393	0.1305179103
394	0.1299791323
395	0.1296046751
396	0.1292479851
397	0.1288034285
398	0.1284380426
399	0.1280896279
400	0.1277874404
401	0.1272546144
402	0.1269720003
403	0.1265092975
404	0.126181813
405	0.1257998398
406	0.1254198045
407	0.1250574282
408	0.1247447789
409	0.1243875192
410	0.1239589707
411	0.1236909009
412	0.1232641699
413	0.1227960809
414	0.1225457682
415	0.1221791036
416	0.1218715016
417	0.1215345432
418	0.1212086726
419	0.1209025792
420	0.1205349455
421	0.1201154191
422	0.1197423692
423	0.1194384548
424	0.1189138741
425	0.1185882265
426	0.1183830631
427	0.1179609087
428	0.1176245454
429	0.117165824
430	0.116947876
431	0.1164133661
432	0.1160200286
433	0.1156565587
434	0.1153101093
435	0.1149335584
436	0.1146474249
437	0.1142750722
438	0.1139180369
439	0.1135266916
440	0.1131671441
441	0.1128282573
442	0.1125036722
443	0.1120859382
444	0.1117215674
445	0.1115000373
446	0.1112392413
447	0.1109701751
448	0.1106556969
449	0.1103055241
450	0.1099448408
451	0.1097158886
452	0.1093705645
453	0.1091597512
454	0.1088892214
455	0.1084613096
456	0.1081274684
457	0.1077989482
458	0.1075607832
459	0.1073663278
460	0.1070123008
461	0.1067615834
462	0.1064768033
463	0.1061119866
464	0.1057121965
465	0.1053842277
466	0.1052166047
467	0.1050272452
468	0.1047170031
469	0.1044404214
470	0.1042307223
471	0.1038984712
472	0.1035866963
473	0.1032450416
474	0.1029808203
475	0.1026408789
476	0.1024154405
477	0.1020027298
478	0.1016905993
479	0.1014281525
480	0.1012890936
481	0.101036009
482	0.1007833607
483	0.1005230422
484	0.1002915628
485	0.100014926
