"country","iq","pop2020"
"singapore","108","5850.3420"
"hong kong","108","7496.9810"
"south korea","106","51269.1850"
"japan","105","126476.4610"
"china","105","1439323.7760"
"taiwan","104","23816.7750"
"italy","102","60461.8260"
"iceland","101","341.2430"
"mongolia","101","3278.2900"
"switzerland","101","8654.6220"
"luxembourg","100","625.9780"
"norway","100","5421.2410"
"austria","100","9006.3980"
"netherlands","100","17134.8720"
"united kingdom","100","67886.0110"
"estonia","99","1326.5350"
"finland","99","5540.7200"
"sweden","99","10099.2650"
"belgium","99","11589.6230"
"canada","99","37742.1540"
"poland","99","37846.6110"
"germany","99","83783.9420"
"andorra","98","77.2650"
"latvia","98","1886.1980"
"new zealand","98","4822.2330"
"denmark","98","5792.2020"
"hungary","98","9660.3510"
"czech republic","98","10708.9810"
"australia","98","25499.8840"
"spain","98","46754.7780"
"france","98","65273.5110"
"united states","98","331002.6510"
"malta","97","441.5430"
"belarus","97","9449.3230"
"ukraine","97","43733.7620"
"russia","97","145934.4620"
"slovenia","96","2078.9380"
"uruguay","96","3473.7300"
"moldova","96","4033.9630"
"slovakia","96","5459.6420"
"israel","95","8655.5350"
"portugal","95","10196.7090"
"armenia","94","2963.2430"
"georgia","94","3989.1670"
"kazakhstan","94","18776.7070"
"romania","94","19237.6910"
"vietnam","94","97338.5790"
"bulgaria","93","6948.4450"
"argentina","93","45195.7740"
"ireland","92","4937.7860"
"greece","92","10423.0540"
"malaysia","92","32365.9990"
"brunei","91","437.4790"
"cyprus","91","1207.3590"
"lithuania","91","2722.2890"
"sierra leone","91","7976.9830"
"cambodia","91","16718.9650"
"thailand","91","69799.9780"
"albania","90","2877.7970"
"bosnia and herzegovina","90","3280.8190"
"croatia","90","4105.2670"
"kyrgyzstan","90","6524.1950"
"chile","90","19116.2010"
"turkey","90","84339.0670"
"suriname","89","586.6320"
"mauritius","89","1271.7680"
"costa rica","89","5094.1180"
"laos","89","7275.5600"
"serbia","89","8737.3710"
"samoa","88","198.4140"
"ecuador","88","17643.0540"
"mexico","88","128932.7530"
"nauru","87","10.8240"
"guyana","87","786.5520"
"turkmenistan","87","6031.2000"
"tajikistan","87","9537.6450"
"azerbaijan","87","10139.1770"
"bolivia","87","11673.0210"
"uzbekistan","87","33469.2030"
"iraq","87","40222.4930"
"myanmar","87","54409.8000"
"brazil","87","212559.4170"
"indonesia","87","273523.6150"
"seychelles","86","98.3470"
"tonga","86","105.6950"
"kuwait","86","4270.5710"
"philippines","86","109581.0780"
"kiribati","85","119.4490"
"fiji","85","896.4450"
"trinidad and tobago","85","1399.4880"
"eritrea","85","3546.4210"
"cuba","85","11326.6160"
"yemen","85","29825.9640"
"peru","85","32971.8540"
"marshall islands","84","59.1900"
"micronesia","84","115.0230"
"vanuatu","84","307.1450"
"bahamas","84","393.2440"
"belize","84","397.6280"
"solomon islands","84","686.8840"
"panama","84","4314.7670"
"paraguay","84","7132.5380"
"united arab emirates","84","9890.4020"
"jordan","84","10203.1340"
"venezuela","84","28435.9400"
"saudi arabia","84","34813.8710"
"morocco","84","36910.5600"
"afghanistan","84","38928.3460"
"uganda","84","45741.0070"
"colombia","84","50882.8910"
"iran","84","83992.9490"
"nigeria","84","206139.5890"
"pakistan","84","220892.3400"
"bahrain","83","1701.5750"
"oman","83","5106.6260"
"libya","83","6871.2920"
"papua new guinea","83","8947.0240"
"tunisia","83","11818.6190"
"syria","83","17500.6580"
"algeria","83","43851.0440"
"lebanon","82","6825.4450"
"dominican republic","82","10847.9100"
"zimbabwe","82","14862.9240"
"madagascar","82","27691.0180"
"bangladesh","82","164689.3830"
"india","82","1380004.3850"
"maldives","81","540.5440"
"nicaragua","81","6624.5540"
"honduras","81","9904.6070"
"egypt","81","102334.4040"
"barbados","80","287.3750"
"bhutan","80","771.6080"
"el salvador","80","6486.2050"
"kenya","80","53771.2960"
"guatemala","79","17915.5680"
"zambia","79","18383.9550"
"sri lanka","79","21413.2490"
"qatar","78","2881.0530"
"nepal","78","29136.8080"
"DR congo","78","89561.4030"
"comoros","77","869.6010"
"south africa","77","59308.6900"
"cape verde","76","555.9870"
"mauritania","76","4649.6580"
"Republic of the Congo","76","5518.0870"
"senegal","76","16743.9270"
"namibia","74","2540.9050"
"mali","74","20250.8330"
"ghana","73","31072.9400"
"tanzania","72","59734.2180"
"saint vincent and the grenadines","71","110.9400"
"jamaica","71","2961.1670"
"central african republic","71","4829.7670"
"sudan","71","43849.2600"
"antigua and barbuda","70","97.9290"
"botswana","70","2351.6270"
"togo","70","8278.7240"
"benin","70","12123.2000"
"rwanda","70","12952.2180"
"burundi","69","11890.7840"
"malawi","69","19129.9520"
"niger","69","24206.6440"
"Ivory Coast","69","26378.2740"
"ethiopia","69","114963.5880"
"djibouti","68","988"
"swaziland","68","1160.1640"
"somalia","68","15893.2220"
"chad","68","16425.8640"
"burkina faso","68","20903.2730"
"angola","68","32866.2720"
"saint kitts and nevis","67","53.1990"
"dominica","67","71.9860"
"Sao Tome and Principe","67","219.1590"
"guinea-bissau","67","1968.0010"
"lesotho","67","2142.2490"
"liberia","67","5057.6810"
"haiti","67","11402.5280"
"guinea","67","13132.7950"
"Gambia","66","2416.6680"
"gabon","64","2225.7340"
"cameroon","64","26545.8630"
"mozambique","64","31255.4350"
"saint lucia","62","183.6270"
"equatorial guinea","59","1402.9850"
