,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0,0.7868164794007491,2021-04-16 00:17:09.709835,2021-04-16 00:17:12.369347,0 days 00:00:02.659512,0.49347905944924053,0.001,48,370,0.001,12,10.0,1.0,0.4334349936943685,COMPLETE
1,1,0.7811735330836455,2021-04-16 00:17:12.370347,2021-04-16 00:17:12.738682,0 days 00:00:00.368335,0.5120727473496252,0.1,33,182,1e-05,28,2.0,10.0,0.25262430165645,COMPLETE
2,2,0.616167290886392,2021-04-16 00:17:12.739683,2021-04-16 00:17:12.941867,0 days 00:00:00.202184,0.4702155983523252,0.1,15,205,100.0,7,2.0,10.0,0.2410801908889868,COMPLETE
3,3,0.7407615480649188,2021-04-16 00:17:12.943868,2021-04-16 00:17:13.227130,0 days 00:00:00.283262,0.5566762197108182,0.01,24,190,1.0,49,10.0,100.0,0.3185242559098857,COMPLETE
4,4,0.616167290886392,2021-04-16 00:17:13.229128,2021-04-16 00:17:13.437823,0 days 00:00:00.208695,0.5998860735490212,0.01,31,400,100.0,9,10.0,1.0,0.5490354132893219,COMPLETE
5,5,0.616167290886392,2021-04-16 00:17:13.438824,2021-04-16 00:17:13.645893,0 days 00:00:00.207069,0.5940972548306435,0.1,28,155,100.0,9,0.1,0.1,0.3005736567685391,COMPLETE
6,6,0.7890636704119851,2021-04-16 00:17:13.646894,2021-04-16 00:17:14.049260,0 days 00:00:00.402366,0.4847529737607565,0.01,40,112,1e-05,19,2.0,50.0,0.6711981427671567,COMPLETE
7,7,0.616167290886392,2021-04-16 00:17:14.050261,2021-04-16 00:17:14.257015,0 days 00:00:00.206754,0.5642818806484751,0.01,13,497,1000.0,33,5.0,1.0,0.7404441861626453,COMPLETE
8,8,0.7856304619225968,2021-04-16 00:17:14.259017,2021-04-16 00:17:14.561940,0 days 00:00:00.302923,0.5913896201082687,0.1,30,214,1.0,46,5.0,5.0,0.20685884625736622,COMPLETE
9,9,0.8058551810237204,2021-04-16 00:17:14.562940,2021-04-16 00:17:15.024002,0 days 00:00:00.461062,0.550612764157803,0.1,23,423,0.1,38,0.0,50.0,0.5286650982909701,COMPLETE
10,10,0.7879525593008739,2021-04-16 00:17:15.026003,2021-04-16 00:17:16.124990,0 days 00:00:01.098987,0.40104126716779115,0.001,19,486,0.1,39,0.0,0.0,0.48464994123477817,COMPLETE
11,11,0.7935330836454432,2021-04-16 00:17:16.125991,2021-04-16 00:17:16.543255,0 days 00:00:00.417264,0.44801923280667794,0.01,41,311,1e-05,20,7.0,50.0,0.7058108556858932,COMPLETE
12,12,0.7609987515605493,2021-04-16 00:17:16.544253,2021-04-16 00:17:16.870550,0 days 00:00:00.326297,0.42023057571000577,0.01,41,295,10.0,20,7.0,50.0,0.5707579977846827,COMPLETE
13,13,0.8249188514357053,2021-04-16 00:17:16.871551,2021-04-16 00:17:17.460608,0 days 00:00:00.589057,0.4397360028281899,0.1,48,409,0.01,35,0.0,20.0,0.7972565425927216,COMPLETE
14,14,0.8013732833957553,2021-04-16 00:17:17.461609,2021-04-16 00:17:17.958365,0 days 00:00:00.496756,0.4330855994747112,0.1,21,437,0.01,41,0.0,20.0,0.36622291192406264,COMPLETE
15,15,0.8136953807740325,2021-04-16 00:17:17.959366,2021-04-16 00:17:18.504147,0 days 00:00:00.544781,0.5292079033419602,0.1,49,439,0.01,35,0.0,20.0,0.5969411655051592,COMPLETE
16,16,0.8204244694132334,2021-04-16 00:17:18.506148,2021-04-16 00:17:19.004602,0 days 00:00:00.498454,0.5216116206984921,0.1,49,335,0.01,31,1.0,20.0,0.7861843932400356,COMPLETE
17,17,0.616167290886392,2021-04-16 00:17:19.005603,2021-04-16 00:17:19.222802,0 days 00:00:00.217199,0.4575588253842304,0.1,45,339,10000.0,28,1.0,20.0,0.7844499598523853,COMPLETE
