,0
0,5.0
1,5.0
2,5.0
3,6.0
4,6.0
5,6.0
6,5.0
7,5.0
8,6.0
9,5.0
10,5.0
11,6.0
12,6.0
13,6.0
14,6.0
15,6.0
16,6.0
17,6.0
18,5.0
19,5.0
20,6.0
21,5.0
22,6.0
23,6.0
24,5.0
25,5.0
26,6.0
27,5.0
28,6.0
29,5.0
30,5.0
31,6.0
32,6.0
33,6.0
34,6.0
35,6.0
36,5.0
37,6.0
38,5.0
39,6.0
40,5.0
41,6.0
42,6.0
43,5.0
44,6.0
45,5.0
46,6.0
47,6.0
48,5.0
49,6.0
50,6.0
51,5.0
52,6.0
53,6.0
54,5.0
55,6.0
56,6.0
57,6.0
58,5.0
59,6.0
60,6.0
61,5.0
62,5.0
63,6.0
64,5.0
65,6.0
66,5.0
67,5.0
68,6.0
69,6.0
70,6.0
71,5.0
72,7.0
73,5.0
74,5.0
75,5.0
76,6.0
77,6.0
78,6.0
79,6.0
80,6.0
81,5.0
82,5.0
83,6.0
84,5.0
85,5.0
86,6.0
87,6.0
88,6.0
89,7.0
90,5.0
91,5.0
92,7.0
93,5.0
94,5.0
95,5.0
96,6.0
97,6.0
98,5.0
99,5.0
100,6.0
101,5.0
102,5.0
103,6.0
104,6.0
105,5.0
106,5.0
107,5.0
108,5.0
109,6.0
110,6.0
111,6.0
112,7.0
113,5.0
114,6.0
115,5.0
116,6.0
117,5.0
118,6.0
119,5.0
120,6.0
121,5.0
122,5.0
123,5.0
124,5.0
125,5.0
126,5.0
127,5.0
128,5.0
129,6.0
130,6.0
131,5.0
132,5.0
133,5.0
134,5.0
135,6.0
136,5.0
137,6.0
138,6.0
139,5.0
140,6.0
141,6.0
142,6.0
143,6.0
144,7.0
145,5.0
146,5.0
147,6.0
148,6.0
149,6.0
150,6.0
151,5.0
152,5.0
153,7.0
154,6.0
155,5.0
156,6.0
157,5.0
158,6.0
159,5.0
160,5.0
161,6.0
162,6.0
163,6.0
164,5.0
165,7.0
166,7.0
167,6.0
168,6.0
169,5.0
170,5.0
171,5.0
172,6.0
173,5.0
174,6.0
175,6.0
176,6.0
177,5.0
178,6.0
179,5.0
180,6.0
181,7.0
182,6.0
183,5.0
184,6.0
185,6.0
186,5.0
187,5.0
188,5.0
189,5.0
190,5.0
191,5.0
192,5.0
193,6.0
194,6.0
195,6.0
196,7.0
197,6.0
198,6.0
199,6.0
200,6.0
201,5.0
202,6.0
203,6.0
204,6.0
205,6.0
206,5.0
207,6.0
208,7.0
209,5.0
210,7.0
211,5.0
212,5.0
213,5.0
214,5.0
215,5.0
216,5.0
217,5.0
218,5.0
219,5.0
220,6.0
221,5.0
222,6.0
223,6.0
224,5.0
225,5.0
226,6.0
227,6.0
228,5.0
229,6.0
230,6.0
231,5.0
232,6.0
233,6.0
234,6.0
235,5.0
236,5.0
237,6.0
238,6.0
239,5.0
240,6.0
241,5.0
242,6.0
243,5.0
244,5.0
245,6.0
246,6.0
247,5.0
248,6.0
249,6.0
250,6.0
251,6.0
252,6.0
253,6.0
254,5.0
255,5.0
256,6.0
257,6.0
258,5.0
259,5.0
260,6.0
261,5.0
262,7.0
263,5.0
264,5.0
265,6.0
266,6.0
267,5.0
268,6.0
269,5.0
270,6.0
271,5.0
272,7.0
273,6.0
274,5.0
275,7.0
276,5.0
277,5.0
278,5.0
279,6.0
280,5.0
281,5.0
282,6.0
283,5.0
284,5.0
285,6.0
286,6.0
287,5.0
288,5.0
289,6.0
290,5.0
291,5.0
292,5.0
293,6.0
294,6.0
295,5.0
296,5.0
297,6.0
298,5.0
299,5.0
300,5.0
301,5.0
302,6.0
303,6.0
304,6.0
305,6.0
306,5.0
307,6.0
308,6.0
309,6.0
310,7.0
311,5.0
312,5.0
313,6.0
314,5.0
315,6.0
316,5.0
317,6.0
318,6.0
319,5.0
