,0
0,7.0
1,5.0
2,6.0
3,5.0
4,3.0
5,7.0
6,4.0
7,3.0
8,3.0
9,4.0
10,3.0
11,8.0
12,7.0
13,5.0
14,4.0
15,5.0
16,8.0
17,5.0
18,5.0
19,6.0
20,3.0
21,5.0
22,7.0
23,3.0
24,6.0
25,7.0
26,4.0
27,3.0
28,7.0
29,3.0
30,4.0
31,5.0
32,8.0
33,7.0
34,5.0
35,7.0
36,6.0
37,6.0
38,5.0
39,3.0
40,4.0
41,6.0
42,8.0
43,8.0
44,5.0
45,5.0
46,7.0
47,3.0
48,8.0
49,8.0
50,8.0
51,5.0
52,7.0
53,3.0
54,7.0
55,3.0
56,4.0
57,4.0
58,4.0
59,6.0
60,4.0
61,5.0
62,3.0
63,6.0
64,4.0
65,4.0
66,8.0
67,6.0
68,7.0
69,7.0
70,7.0
71,5.0
72,7.0
73,4.0
74,7.0
75,7.0
76,5.0
77,7.0
78,3.0
79,7.0
80,8.0
81,5.0
82,3.0
83,8.0
84,8.0
85,4.0
86,8.0
87,4.0
88,8.0
89,7.0
90,6.0
91,8.0
92,4.0
93,8.0
94,5.0
95,6.0
96,5.0
97,3.0
98,7.0
99,5.0
100,3.0
101,7.0
102,8.0
103,7.0
104,5.0
105,8.0
106,3.0
107,3.0
108,3.0
109,3.0
110,6.0
111,7.0
112,8.0
113,8.0
114,6.0
115,4.0
116,3.0
117,4.0
118,8.0
119,5.0
120,8.0
121,5.0
122,3.0
123,5.0
124,8.0
125,3.0
126,8.0
127,5.0
128,3.0
129,3.0
130,6.0
131,8.0
132,6.0
133,8.0
134,7.0
135,3.0
136,7.0
137,3.0
138,3.0
139,7.0
140,7.0
141,3.0
142,3.0
143,8.0
144,7.0
145,6.0
146,4.0
147,4.0
148,8.0
149,5.0
150,5.0
151,6.0
152,5.0
153,3.0
154,7.0
155,5.0
156,3.0
157,3.0
158,3.0
159,8.0
160,7.0
161,8.0
162,3.0
163,4.0
164,6.0
165,7.0
166,3.0
167,8.0
168,6.0
169,5.0
170,5.0
171,6.0
172,6.0
173,5.0
174,8.0
175,4.0
176,7.0
177,4.0
178,3.0
179,6.0
180,5.0
181,6.0
182,4.0
183,8.0
184,5.0
185,5.0
186,4.0
187,5.0
188,6.0
189,4.0
190,5.0
191,5.0
192,3.0
193,7.0
194,6.0
195,8.0
196,8.0
197,4.0
198,7.0
199,3.0
200,3.0
201,7.0
202,7.0
203,8.0
204,6.0
205,3.0
206,6.0
207,3.0
208,6.0
209,6.0
210,5.0
211,8.0
212,5.0
213,4.0
214,4.0
215,4.0
216,8.0
217,8.0
218,8.0
219,5.0
220,4.0
221,5.0
222,6.0
223,5.0
224,5.0
225,8.0
226,6.0
227,4.0
228,5.0
229,4.0
230,3.0
231,3.0
232,4.0
233,5.0
234,7.0
235,6.0
236,5.0
237,8.0
238,8.0
239,4.0
240,3.0
241,8.0
242,4.0
243,5.0
244,4.0
245,6.0
246,6.0
247,3.0
248,6.0
249,4.0
250,8.0
251,6.0
252,7.0
253,7.0
254,3.0
255,6.0
256,7.0
257,8.0
258,4.0
259,3.0
260,4.0
261,4.0
262,8.0
263,4.0
264,3.0
265,8.0
266,8.0
267,4.0
268,5.0
269,8.0
270,3.0
271,8.0
272,8.0
273,7.0
274,6.0
275,7.0
276,8.0
277,4.0
278,4.0
279,6.0
280,7.0
281,5.0
282,8.0
283,8.0
284,8.0
285,6.0
286,5.0
287,7.0
288,3.0
289,4.0
290,4.0
291,8.0
292,8.0
293,3.0
294,7.0
295,5.0
296,6.0
297,7.0
298,4.0
299,8.0
300,8.0
301,5.0
302,8.0
303,7.0
304,7.0
305,4.0
306,6.0
307,3.0
308,3.0
309,3.0
310,8.0
311,5.0
312,4.0
313,4.0
314,5.0
315,3.0
316,3.0
317,7.0
318,8.0
319,5.0
320,3.0
321,6.0
322,4.0
323,5.0
324,5.0
325,7.0
326,5.0
327,4.0
328,6.0
329,6.0
330,5.0
331,7.0
332,8.0
333,7.0
334,6.0
335,4.0
336,5.0
337,4.0
338,5.0
339,3.0
340,8.0
341,4.0
342,3.0
343,6.0
344,5.0
345,7.0
346,3.0
347,7.0
348,3.0
349,6.0
350,8.0
351,7.0
352,3.0
353,4.0
354,6.0
355,5.0
356,7.0
357,8.0
358,8.0
359,5.0
360,5.0
361,7.0
362,4.0
363,5.0
364,4.0
365,8.0
366,3.0
367,3.0
368,4.0
369,5.0
370,4.0
371,3.0
372,6.0
373,8.0
374,6.0
375,4.0
376,4.0
377,7.0
378,5.0
379,8.0
380,6.0
381,3.0
382,4.0
383,3.0
384,8.0
385,4.0
386,3.0
387,8.0
388,7.0
389,3.0
390,8.0
391,8.0
392,7.0
393,7.0
394,3.0
395,7.0
396,4.0
397,3.0
398,6.0
399,5.0
400,5.0
401,5.0
402,7.0
403,5.0
404,4.0
405,8.0
406,3.0
407,4.0
408,8.0
409,4.0
410,6.0
411,3.0
412,7.0
413,4.0
414,6.0
415,3.0
416,6.0
417,3.0
418,8.0
419,7.0
420,6.0
421,3.0
422,8.0
423,8.0
424,7.0
425,7.0
426,3.0
427,4.0
428,7.0
429,3.0
430,7.0
431,6.0
432,7.0
433,7.0
434,4.0
435,8.0
436,7.0
437,7.0
438,5.0
439,8.0
440,4.0
441,7.0
442,3.0
443,7.0
444,6.0
445,5.0
446,5.0
447,4.0
448,7.0
449,6.0
450,6.0
451,4.0
452,8.0
453,4.0
454,6.0
455,7.0
456,8.0
457,3.0
458,6.0
459,6.0
460,5.0
461,7.0
462,3.0
463,7.0
464,7.0
465,6.0
466,8.0
467,4.0
468,6.0
469,4.0
470,7.0
471,4.0
472,3.0
473,6.0
474,6.0
475,4.0
476,8.0
477,3.0
478,7.0
479,4.0
480,8.0
481,4.0
482,7.0
483,5.0
484,5.0
485,6.0
486,4.0
487,8.0
488,7.0
489,8.0
490,8.0
491,6.0
492,7.0
493,8.0
494,6.0
495,6.0
496,6.0
497,6.0
498,4.0
499,6.0
500,5.0
501,3.0
502,6.0
503,6.0
504,3.0
505,4.0
506,6.0
507,8.0
508,8.0
509,7.0
510,3.0
511,3.0
512,3.0
513,4.0
514,4.0
515,7.0
516,3.0
517,6.0
518,6.0
519,4.0
520,5.0
521,3.0
522,8.0
523,3.0
524,5.0
525,7.0
526,5.0
527,5.0
528,4.0
529,7.0
530,3.0
531,6.0
532,8.0
533,5.0
534,4.0
535,6.0
536,8.0
537,4.0
538,6.0
539,5.0
540,7.0
541,8.0
542,4.0
543,4.0
544,4.0
545,6.0
546,8.0
547,8.0
548,7.0
549,7.0
550,5.0
551,8.0
552,6.0
553,4.0
554,4.0
555,7.0
556,5.0
557,7.0
558,6.0
559,4.0
560,3.0
561,6.0
562,3.0
563,5.0
564,3.0
565,6.0
566,4.0
567,4.0
568,8.0
569,3.0
570,7.0
571,3.0
572,3.0
573,8.0
574,7.0
575,3.0
576,3.0
577,4.0
578,3.0
579,5.0
580,5.0
581,7.0
582,8.0
583,8.0
584,8.0
585,6.0
586,8.0
587,4.0
588,6.0
589,3.0
590,7.0
591,5.0
592,8.0
593,8.0
594,7.0
595,6.0
596,5.0
597,3.0
598,4.0
599,8.0
600,3.0
601,7.0
602,4.0
603,8.0
604,5.0
605,3.0
606,5.0
607,5.0
608,5.0
609,6.0
610,7.0
611,6.0
612,6.0
613,8.0
614,8.0
615,7.0
616,4.0
617,3.0
618,4.0
619,8.0
620,8.0
621,3.0
622,7.0
623,7.0
624,6.0
625,7.0
626,4.0
627,6.0
628,4.0
629,8.0
630,6.0
631,4.0
632,7.0
633,8.0
634,4.0
635,3.0
636,6.0
637,8.0
638,4.0
639,7.0
640,8.0
641,4.0
642,4.0
643,4.0
644,5.0
645,4.0
646,7.0
647,7.0
648,3.0
649,6.0
650,5.0
651,4.0
652,8.0
653,8.0
654,3.0
655,6.0
656,5.0
657,3.0
658,5.0
659,4.0
660,3.0
661,8.0
662,3.0
663,5.0
664,5.0
665,8.0
666,4.0
667,7.0
668,3.0
669,3.0
670,8.0
671,8.0
672,5.0
673,5.0
674,7.0
675,5.0
676,7.0
677,4.0
678,5.0
679,7.0
680,3.0
681,4.0
682,8.0
683,8.0
684,8.0
685,7.0
686,3.0
687,6.0
688,6.0
689,7.0
690,5.0
691,5.0
692,6.0
693,3.0
694,7.0
695,6.0
696,6.0
697,8.0
698,5.0
699,4.0
700,6.0
701,8.0
702,7.0
703,3.0
704,6.0
705,6.0
706,8.0
707,7.0
708,3.0
709,8.0
710,8.0
711,6.0
712,5.0
713,7.0
714,6.0
715,4.0
716,4.0
717,6.0
718,7.0
719,7.0
720,4.0
721,3.0
722,7.0
723,5.0
724,6.0
725,5.0
726,7.0
727,3.0
728,5.0
729,7.0
730,3.0
731,6.0
732,6.0
733,3.0
734,5.0
735,3.0
736,6.0
737,7.0
738,6.0
739,7.0
740,6.0
741,4.0
742,7.0
743,4.0
744,3.0
745,7.0
746,8.0
747,7.0
748,5.0
749,7.0
750,6.0
751,8.0
752,4.0
753,6.0
754,4.0
755,6.0
756,5.0
757,7.0
758,3.0
759,3.0
760,3.0
761,5.0
762,4.0
763,5.0
764,7.0
765,7.0
766,7.0
767,8.0
768,4.0
769,3.0
770,7.0
771,4.0
772,6.0
773,8.0
774,8.0
775,5.0
776,5.0
777,8.0
778,4.0
779,6.0
780,7.0
781,4.0
782,7.0
783,7.0
784,7.0
785,7.0
786,5.0
787,5.0
788,3.0
789,4.0
790,8.0
791,7.0
792,8.0
793,5.0
794,4.0
795,6.0
796,5.0
797,6.0
798,3.0
799,6.0
800,4.0
801,7.0
802,6.0
803,7.0
804,7.0
805,6.0
806,7.0
807,4.0
808,6.0
809,4.0
810,7.0
811,6.0
812,3.0
813,4.0
814,6.0
815,7.0
816,8.0
817,3.0
