,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0,0.9524324324324326,2021-04-13 21:49:13.354722,2021-04-13 21:49:20.059804,0 days 00:00:06.705082,0.5559333734654567,0.1,34,344,0.001,48,0.0,1.0,0.4683579261516278,COMPLETE
1,1,0.26432432432432434,2021-04-13 21:49:20.061806,2021-04-13 21:49:21.034691,0 days 00:00:00.972885,0.5280079839849445,0.001,24,324,100.0,8,50.0,10.0,0.3295931455128879,COMPLETE
2,2,0.26432432432432434,2021-04-13 21:49:21.036692,2021-04-13 21:49:22.009577,0 days 00:00:00.972885,0.4697550226014864,0.001,35,491,10000.0,7,100.0,0.0,0.25892195725531414,COMPLETE
3,3,0.26432432432432434,2021-04-13 21:49:22.010577,2021-04-13 21:49:23.000477,0 days 00:00:00.989900,0.41493323688336825,0.1,47,434,1e-05,50,100.0,20.0,0.24593076203535277,COMPLETE
4,4,0.26432432432432434,2021-04-13 21:49:23.001478,2021-04-13 21:49:23.966864,0 days 00:00:00.965386,0.4853589522966168,0.1,31,453,1000.0,38,100.0,5.0,0.3668756582818649,COMPLETE
5,5,0.845945945945946,2021-04-13 21:49:23.967864,2021-04-13 21:49:25.901950,0 days 00:00:01.934086,0.5341645800253667,0.1,47,469,1.0,16,10.0,0.1,0.21034975123063407,COMPLETE
6,6,0.8329729729729729,2021-04-13 21:49:25.902951,2021-04-13 21:49:28.353179,0 days 00:00:02.450228,0.42026272078449944,0.01,42,413,10.0,9,7.0,1.0,0.5243913930514976,COMPLETE
7,7,0.9254054054054054,2021-04-13 21:49:28.354179,2021-04-13 21:49:31.380210,0 days 00:00:03.026031,0.533773145590785,0.1,46,207,1.0,48,2.0,5.0,0.3056966221016607,COMPLETE
8,8,0.26432432432432434,2021-04-13 21:49:31.381210,2021-04-13 21:49:32.386125,0 days 00:00:01.004915,0.5104258565234395,0.1,35,407,10000.0,27,5.0,50.0,0.5998639255707208,COMPLETE
9,9,0.26432432432432434,2021-04-13 21:49:32.387125,2021-04-13 21:49:33.445087,0 days 00:00:01.057962,0.5961957666301313,0.001,30,156,1000.0,33,1.0,0.0,0.6478757137405069,COMPLETE
10,10,0.8156756756756758,2021-04-13 21:49:33.446087,2021-04-13 21:49:38.584941,0 days 00:00:05.138854,0.5998396449112299,0.01,10,295,0.001,42,0.0,100.0,0.46882840337512954,COMPLETE
11,11,0.9324324324324325,2021-04-13 21:49:38.586942,2021-04-13 21:49:42.871837,0 days 00:00:04.284895,0.5650822170859046,0.1,21,179,0.01,49,2.0,5.0,0.3151930861035187,COMPLETE
12,12,0.9416216216216217,2021-04-13 21:49:42.872838,2021-04-13 21:49:47.773158,0 days 00:00:04.900320,0.566595014312519,0.1,19,277,0.01,45,2.0,1.0,0.4269152216833803,COMPLETE
13,13,0.9545945945945947,2021-04-13 21:49:47.774158,2021-04-13 21:49:54.829354,0 days 00:00:07.055196,0.5733903607340597,0.1,13,284,0.001,43,0.0,1.0,0.44312578555890225,COMPLETE
14,14,0.9572972972972973,2021-04-13 21:49:54.831355,2021-04-13 21:50:01.878067,0 days 00:00:07.046712,0.5687226861461216,0.1,11,351,0.001,25,0.0,1.0,0.7763878256870379,COMPLETE
15,15,0.9470270270270271,2021-04-13 21:50:01.879068,2021-04-13 21:50:08.723125,0 days 00:00:06.844057,0.597220647598473,0.01,10,242,0.001,24,0.0,1.0,0.7970977263782225,COMPLETE
16,16,0.9545945945945947,2021-04-13 21:50:08.724126,2021-04-13 21:50:14.630000,0 days 00:00:05.905874,0.4609825142252701,0.1,14,364,0.1,20,0.1,1.0,0.7466198353035508,COMPLETE
17,17,0.9594594594594594,2021-04-13 21:50:14.631001,2021-04-13 21:50:20.248437,0 days 00:00:05.617436,0.4489405569992192,0.1,15,371,0.1,19,0.1,0.1,0.7871281548452237,COMPLETE
18,18,0.9583783783783785,2021-04-13 21:50:20.250439,2021-04-13 21:50:25.755199,0 days 00:00:05.504760,0.4380820993083214,0.1,17,100,0.1,16,0.1,0.1,0.6844221351411499,COMPLETE
19,19,0.9605405405405406,2021-04-13 21:50:25.758203,2021-04-13 21:50:31.082109,0 days 00:00:05.323906,0.43913328371435273,0.1,17,101,0.1,14,0.1,0.1,0.6288067433799851,COMPLETE
20,20,0.9556756756756757,2021-04-13 21:50:31.083108,2021-04-13 21:50:37.869647,0 days 00:00:06.786539,0.4015814973404937,0.01,26,126,0.1,13,0.1,0.1,0.583576926118544,COMPLETE
21,21,0.9572972972972973,2021-04-13 21:50:37.871649,2021-04-13 21:50:43.435397,0 days 00:00:05.563748,0.4436371024380739,0.1,17,105,0.1,19,0.1,0.1,0.69281401539912,COMPLETE
22,22,0.9572972972972973,2021-04-13 21:50:43.436398,2021-04-13 21:50:48.947082,0 days 00:00:05.510684,0.43795041319555666,0.1,16,103,0.1,13,0.1,0.1,0.6950796829303663,COMPLETE
23,23,0.9545945945945947,2021-04-13 21:50:48.948082,2021-04-13 21:50:54.126898,0 days 00:00:05.178816,0.44044726705552645,0.1,22,379,0.1,21,0.1,0.1,0.5467917699170535,COMPLETE
24,24,0.9583783783783785,2021-04-13 21:50:54.127899,2021-04-13 21:50:59.539085,0 days 00:00:05.411186,0.4245976264202177,0.1,27,140,0.1,14,0.1,0.1,0.6445466485363793,COMPLETE
25,25,0.9616216216216216,2021-04-13 21:50:59.540085,2021-04-13 21:51:07.653966,0 days 00:00:08.113881,0.41988421194596665,0.001,28,137,0.1,12,0.1,0.1,0.7973872033469138,COMPLETE
26,26,0.8794594594594596,2021-04-13 21:51:07.654967,2021-04-13 21:51:12.506200,0 days 00:00:04.851233,0.45926875629516645,0.001,21,232,0.1,10,7.0,0.1,0.7879047526035722,COMPLETE
27,27,0.6010810810810812,2021-04-13 21:51:12.507201,2021-04-13 21:51:13.784364,0 days 00:00:01.277163,0.4102336512121448,0.001,27,171,100.0,31,0.1,100.0,0.7991494889169163,COMPLETE
28,28,0.8383783783783784,2021-04-13 21:51:13.786364,2021-04-13 21:51:17.458850,0 days 00:00:03.672486,0.4000205703804024,0.001,24,388,1e-05,6,5.0,10.0,0.5171206979219548,COMPLETE
29,29,0.6718918918918919,2021-04-13 21:51:17.459850,2021-04-13 21:51:19.816497,0 days 00:00:02.356647,0.48273380984376435,0.001,39,335,10.0,17,50.0,50.0,0.7321884514369309,COMPLETE
30,30,0.8091891891891893,2021-04-13 21:51:19.817498,2021-04-13 21:51:23.171855,0 days 00:00:03.354357,0.4526128412337493,0.001,32,203,0.1,22,10.0,20.0,0.6109637512518256,COMPLETE
31,31,0.958918918918919,2021-04-13 21:51:23.172855,2021-04-13 21:51:28.542005,0 days 00:00:05.369150,0.4240707307773635,0.1,28,138,0.1,12,0.1,0.1,0.6355619004991464,COMPLETE
32,32,0.9572972972972973,2021-04-13 21:51:28.543006,2021-04-13 21:51:33.791094,0 days 00:00:05.248088,0.42965228528553584,0.1,28,133,0.1,11,0.1,0.1,0.49137692067486505,COMPLETE
33,33,0.932972972972973,2021-04-13 21:51:33.792095,2021-04-13 21:51:39.410708,0 days 00:00:05.618613,0.4085010476771693,0.001,39,118,0.1,12,1.0,0.1,0.5577060299054817,COMPLETE
34,34,0.727027027027027,2021-04-13 21:51:39.411709,2021-04-13 21:51:40.763269,0 days 00:00:01.351560,0.47184119391737167,0.1,34,312,100.0,8,0.1,0.1,0.6559408621631969,COMPLETE
35,35,0.8843243243243244,2021-04-13 21:51:40.765272,2021-04-13 21:51:46.377372,0 days 00:00:05.612100,0.4281777635564394,0.001,24,165,0.1,18,0.1,10.0,0.7578677016596412,COMPLETE
36,36,0.26432432432432434,2021-04-13 21:51:46.379374,2021-04-13 21:51:47.371276,0 days 00:00:00.991902,0.4527998541451246,0.1,14,258,10000.0,15,50.0,0.0,0.3803476054552917,COMPLETE
